chr	start	end	strand	totalbp	nTags	nReads	nTaxaCovered	minTaxaCovered	status	nVariableSites	posVariableSites	nVarSitesKept	posVarSitesKept	refTag?	maxTagLen	minTagLen
1	1156475	1156538	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	1169066	1169129	1	64	1	5	5	15	invariant	0	NA	0	NA	1	64	64
1	1342341	1342404	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	1345723	1345786	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	1357688	1357751	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	1359704	1359767	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	1398519	1398582	-1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	1403016	1403079	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	1409599	1409662	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	1443348	1443411	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	1470848	1470911	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	1525447	1525510	1	64	3	13	12	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	1631501	1631564	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	1635202	1635265	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	1795345	1795408	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	1825746	1825809	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	2053910	2053973	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	2074505	2074568	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	2100004	2100067	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	2100323	2100386	-1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	2122038	2122101	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	2240534	2240597	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	2260072	2260135	-1	64	1	7	7	15	invariant	0	NA	0	NA	1	64	64
1	2263685	2263748	1	64	1	5	5	15	invariant	0	NA	0	NA	1	64	64
1	2317917	2317980	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	2393929	2393992	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	2476580	2476643	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	2478224	2478287	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	2478164	2478227	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	2722997	2723060	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	2730278	2730341	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	2766014	2766077	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	2767812	2767875	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	2770089	2770152	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	2795708	2795771	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	2858105	2858168	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	2859965	2860028	1	64	10	16	15	15	polymorphic	9	7:10:15:16:17:25:29:42:60	9	7:10:15:16:17:25:29:42:60	1	64	64
1	2860151	2860214	-1	64	1	2	1	15	invariant	0	NA	0	NA	0	64	64
1	2861934	2861997	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	2900951	2901014	-1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	3009597	3009660	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	3167283	3167346	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	3326354	3326417	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	3327628	3327691	-1	64	2	5	5	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	3381560	3381623	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	3574568	3574631	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	3578286	3578349	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	3597261	3597324	1	64	1	4	4	15	invariant	0	NA	0	NA	1	64	64
1	3638494	3638557	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	3651725	3651788	-1	64	1	3	3	15	invariant	0	NA	0	NA	0	64	64
1	3682044	3682107	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	3799129	3799192	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	3863711	3863774	1	64	1	2	1	15	invariant	0	NA	0	NA	1	64	64
1	3899643	3899706	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	3924887	3924950	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	3925152	3925215	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	4024754	4024817	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	4074799	4074862	-1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	4182455	4182518	1	64	1	5	5	15	invariant	0	NA	0	NA	0	64	64
1	4182421	4182458	-1	38	1	1	1	15	invariant	0	NA	0	NA	1	38	38
1	4186022	4186085	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	4291980	4292043	-1	64	3	18	16	15	polymorphic	1	45	1	45	1	64	64
1	4304345	4304408	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	4354991	4355054	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	4363749	4363812	-1	64	1	2	1	15	invariant	0	NA	0	NA	1	64	64
1	4446992	4447055	1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	4458334	4458397	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	4511125	4511188	1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	4514920	4514983	-1	64	3	4	4	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	4516199	4516262	1	64	1	4	4	15	invariant	0	NA	0	NA	1	64	64
1	4516749	4516812	1	64	1	4	4	15	invariant	0	NA	0	NA	1	64	64
1	4556536	4556599	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	4581800	4581857	-1	58	1	1	1	15	invariant	0	NA	0	NA	1	58	58
1	4671835	4671898	1	64	2	5	5	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	4713438	4713501	1	64	1	6	6	15	invariant	0	NA	0	NA	1	64	64
1	4723535	4723598	-1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	4761547	4761610	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	4797358	4797421	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	4813746	4813809	1	64	4	17	16	15	polymorphic	5	38:56:60:61:62	2	38:56	1	64	64
1	4813686	4813749	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	4815478	4815541	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	4875905	4875968	1	64	3	4	4	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	4875845	4875908	-1	64	1	24	22	15	invariant	0	NA	0	NA	0	64	64
1	4950401	4950464	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	4953814	4953877	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	4967490	4967553	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	4973722	4973785	1	64	1	5	5	15	invariant	0	NA	0	NA	1	64	64
1	4985236	4985299	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	5016591	5016654	1	64	1	5	5	15	invariant	0	NA	0	NA	1	64	64
1	5016531	5016594	-1	64	1	4	3	15	invariant	0	NA	0	NA	1	64	64
1	5036105	5036168	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	5038627	5038690	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	5046852	5046915	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	5082328	5082391	1	64	1	4	4	15	invariant	0	NA	0	NA	1	64	64
1	5158452	5158515	-1	64	4	14	14	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	5164035	5164098	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5188203	5188266	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5202225	5202288	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5293983	5294046	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	5299436	5299499	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	5353201	5353264	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5374359	5374422	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5418022	5418085	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5424961	5425024	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5446036	5446099	-1	64	1	4	4	15	invariant	0	NA	0	NA	1	64	64
1	5449963	5450026	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	5463399	5463440	-1	42	1	1	1	15	invariant	0	NA	0	NA	0	42	42
1	5518724	5518787	1	64	3	12	11	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	5519824	5519887	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	5519764	5519827	-1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	5594261	5594324	1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	5594201	5594264	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5605557	5605620	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	5625840	5625903	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	5626604	5626667	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5641766	5641829	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5675163	5675226	1	64	3	4	4	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	5702599	5702662	1	64	1	4	4	15	invariant	0	NA	0	NA	1	64	64
1	5702539	5702602	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	5773224	5773287	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	6038439	6038502	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	6130874	6130937	1	64	2	3	2	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	6291022	6291085	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	6526077	6526140	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	6580643	6580706	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	6600002	6600065	-1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	6603990	6604053	1	64	4	5	5	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	6607798	6607861	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	6660483	6660546	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	6702569	6702632	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	6724716	6724779	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	6763939	6764002	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	6806591	6806654	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	6868894	6868957	-1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	6949761	6949824	-1	64	3	9	9	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	6965996	6966059	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	7184378	7184441	-1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	7445185	7445248	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	7453020	7453083	1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	7483356	7483419	1	64	5	5	5	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	7553100	7553163	-1	64	4	7	7	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	7610673	7610736	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	7760957	7761020	-1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	7785731	7785794	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	7785671	7785734	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	8099813	8099876	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8137992	8138055	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8151056	8151119	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8170287	8170350	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	8197186	8197249	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	8201013	8201076	-1	64	3	4	4	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	8202822	8202885	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8234939	8235002	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	8248453	8248516	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	8281220	8281283	-1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	8384040	8384103	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	8389412	8389475	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	8389492	8389555	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	8431543	8431606	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8437012	8437075	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8463700	8463763	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	8469386	8469449	-1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	8507688	8507751	-1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	8536181	8536244	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8566249	8566312	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8566189	8566252	-1	64	1	2	1	15	invariant	0	NA	0	NA	0	64	64
1	8795888	8795951	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	8797160	8797223	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	8821942	8822005	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	8884978	8885029	-1	52	1	1	1	15	invariant	0	NA	0	NA	1	52	52
1	9064485	9064548	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	9084547	9084610	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	9214961	9215024	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	9272700	9272763	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	9381743	9381806	-1	64	1	3	2	15	invariant	0	NA	0	NA	1	64	64
1	9457103	9457166	1	64	3	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	9457043	9457106	-1	64	3	5	5	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	9497034	9497097	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	9617371	9617434	-1	64	4	7	7	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	9673328	9673391	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	9703319	9703382	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	9707282	9707345	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	9707222	9707285	-1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	9707617	9707680	1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	9723830	9723893	1	64	3	5	5	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	9729310	9729373	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	9779883	9779946	1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	9786395	9786458	-1	64	1	5	5	15	invariant	0	NA	0	NA	1	64	64
1	9810979	9811042	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	9810993	9811056	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	9826814	9826877	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	9867062	9867125	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	9967314	9967377	-1	64	3	5	4	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10028786	10028849	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10028726	10028789	-1	64	3	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10030539	10030602	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	10084129	10084166	1	38	1	1	1	15	invariant	0	NA	0	NA	0	38	38
1	10098824	10098887	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10120760	10120823	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10122402	10122465	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	10122478	10122541	1	64	4	9	8	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10126633	10126696	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10186858	10186921	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10212097	10212160	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	10226375	10226438	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10295011	10295074	-1	64	1	2	1	15	invariant	0	NA	0	NA	1	64	64
1	10322326	10322389	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10322266	10322329	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10370565	10370628	1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10372281	10372344	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10388447	10388510	-1	64	1	7	6	15	invariant	0	NA	0	NA	0	64	64
1	10412668	10412731	-1	64	1	4	4	15	invariant	0	NA	0	NA	1	64	64
1	10483842	10483905	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	10511621	10511684	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	10586908	10586971	-1	64	4	4	4	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10618336	10618399	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	10649252	10649315	1	64	2	13	12	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10694752	10694815	-1	64	2	6	6	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10706129	10706192	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	10709730	10709793	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10815181	10815244	1	64	3	5	5	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10820641	10820704	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	10880974	10881037	1	64	1	3	3	15	invariant	0	NA	0	NA	0	64	64
1	10912695	10912758	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10925925	10925988	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	10926129	10926192	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	10926069	10926132	-1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	10926746	10926809	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	10988631	10988694	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	11058673	11058736	-1	64	1	5	4	15	invariant	0	NA	0	NA	1	64	64
1	11077018	11077081	1	64	2	4	4	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	11106178	11106241	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	11109366	11109429	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	11120272	11120335	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	11120212	11120275	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11120651	11120714	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11133289	11133352	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11168872	11168935	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11209068	11209131	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11215899	11215962	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11232004	11232067	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	11279259	11279322	-1	64	2	6	6	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	11281210	11281273	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	11312782	11312845	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11320734	11320797	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11338321	11338384	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	11446180	11446243	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	11499488	11499551	1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	11521021	11521084	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11535623	11535686	1	64	2	9	9	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	11535791	11535854	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	11537033	11537096	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11585137	11585200	1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	11592183	11592246	1	64	1	4	4	15	invariant	0	NA	0	NA	0	64	64
1	11595451	11595514	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	11597144	11597207	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11632852	11632915	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	11760336	11760399	-1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	11808326	11808389	-1	64	2	5	5	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	11891285	11891348	1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	12002308	12002371	1	64	1	5	5	15	invariant	0	NA	0	NA	1	64	64
1	12002248	12002311	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12092277	12092340	-1	64	1	11	10	15	invariant	0	NA	0	NA	0	64	64
1	12111545	12111608	1	64	2	11	10	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	12122133	12122196	-1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	12148879	12148942	1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	12150243	12150306	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	12150183	12150246	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	12222650	12222713	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12233183	12233246	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	12276820	12276883	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12276958	12277021	-1	64	1	4	2	15	invariant	0	NA	0	NA	1	64	64
1	12279867	12279930	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12291181	12291244	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12340331	12340394	1	64	2	4	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	12341068	12341131	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12355867	12355930	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	12356251	12356314	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	12366066	12366097	1	32	1	1	1	15	invariant	0	NA	0	NA	1	32	32
1	12402536	12402599	1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	12423090	12423153	1	64	1	3	3	15	invariant	0	NA	0	NA	1	64	64
1	12486080	12486143	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12527774	12527837	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	12550615	12550678	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12554001	12554064	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12554521	12554584	-1	64	1	2	2	15	invariant	0	NA	0	NA	0	64	64
1	12557004	12557067	1	64	2	3	3	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	12578807	12578870	1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	12590187	12590250	1	64	2	4	4	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	12612222	12612285	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	12632635	12632698	1	64	3	3	3	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	12733444	12733507	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
